time,lon,lat
00:02:57,98.7717,17.6809
00:02:58,98.7717,17.6809
00:02:59,98.7717,17.6809
00:03:00,98.7717,17.6809
00:03:01,98.7717,17.6809
00:03:02,98.7718,17.6809
00:03:03,98.7719,17.6809
00:03:04,98.7719,17.6809
00:03:05,98.772,17.6809
00:03:06,98.772,17.6809
00:03:07,98.772,17.6809
00:03:08,98.772,17.6809
00:03:09,98.7721,17.681
00:03:10,98.7721,17.681
00:03:11,98.7721,17.681
00:03:12,98.7721,17.681
00:03:13,98.7721,17.681
00:03:14,98.7722,17.681
00:03:15,98.7722,17.6811
00:03:16,98.7722,17.6811
00:03:17,98.7722,17.6811
00:03:18,98.7723,17.6812
00:03:19,98.7723,17.6812
00:03:20,98.7723,17.6812
00:03:21,98.7723,17.6813
00:03:22,98.7723,17.6813
00:03:23,98.7724,17.6814
00:03:24,98.7724,17.6815
00:03:25,98.7724,17.6815
00:03:26,98.7724,17.6815
00:03:27,98.7724,17.6816
00:03:28,98.7725,17.6817
00:03:29,98.7725,17.6818
00:03:30,98.7725,17.6819
00:03:31,98.7725,17.6819
00:03:32,98.7725,17.682
00:03:33,98.7725,17.682
00:03:34,98.7724,17.6821
00:03:35,98.7724,17.6822
00:03:36,98.7724,17.6822
00:03:37,98.7723,17.6823
00:03:38,98.7722,17.6823
00:03:39,98.7722,17.6824
00:03:40,98.7721,17.6825
00:03:41,98.7721,17.6825
00:03:42,98.7721,17.6825
00:03:43,98.772,17.6825
00:03:44,98.772,17.6825
00:03:45,98.772,17.6825
00:03:46,98.772,17.6825
00:03:47,98.772,17.6825
00:03:48,98.772,17.6825
00:03:49,98.772,17.6825
00:03:50,98.7719,17.6825
00:03:51,98.7719,17.6826
00:03:52,98.7719,17.6826
00:03:53,98.7719,17.6826
00:03:54,98.7718,17.6826
00:03:55,98.7717,17.6827
00:03:56,98.7717,17.6827
00:03:57,98.7716,17.6827
00:03:58,98.7716,17.6828
00:03:59,98.7715,17.6828
00:04:00,98.7714,17.6828
00:04:01,98.7713,17.6828
00:04:02,98.7712,17.6828
00:04:03,98.7711,17.6828
00:04:04,98.771,17.6828
00:04:05,98.7709,17.6828
00:04:06,98.7709,17.6828
00:04:07,98.7709,17.6828
00:04:08,98.7708,17.6828
00:04:09,98.7708,17.6828
00:04:10,98.7708,17.6828
00:04:11,98.7708,17.6828
00:04:12,98.7708,17.6828
00:04:13,98.7707,17.6828
00:04:14,98.7707,17.6828
00:04:15,98.7707,17.6828
00:04:16,98.7707,17.6828
00:04:17,98.7706,17.6828
00:04:18,98.7705,17.6827
00:04:19,98.7705,17.6827
00:04:20,98.7704,17.6827
00:04:21,98.7703,17.6827
00:04:22,98.7702,17.6827
00:04:23,98.7702,17.6827
00:04:24,98.7701,17.6827
00:04:25,98.77,17.6827
00:04:26,98.7699,17.6827
00:04:27,98.7699,17.6827
00:04:28,98.7698,17.6827
00:04:29,98.7697,17.6827
00:04:30,98.7697,17.6826
00:04:31,98.7696,17.6826
00:04:32,98.7696,17.6826
00:04:33,98.7695,17.6826
00:04:34,98.7694,17.6826
00:04:35,98.7694,17.6826
00:04:36,98.7693,17.6826
00:04:37,98.7692,17.6826
00:04:38,98.7691,17.6826
00:04:39,98.769,17.6827
00:04:40,98.7689,17.6827
00:04:41,98.7688,17.6827
00:04:42,98.7688,17.6827
00:04:43,98.7687,17.6827
00:04:44,98.7686,17.6827
00:04:45,98.7685,17.6827
00:04:46,98.7684,17.6827
00:04:47,98.7684,17.6827
00:04:48,98.7683,17.6828
00:04:49,98.7682,17.6828
00:04:50,98.7681,17.6828
00:04:51,98.7681,17.6828
00:04:52,98.768,17.6828
00:04:53,98.7679,17.6828
00:04:54,98.7678,17.6828
00:04:55,98.7677,17.6828
00:04:56,98.7676,17.6828
00:04:57,98.7675,17.6828
00:04:58,98.7674,17.6828
00:04:59,98.7673,17.6828
00:05:00,98.7673,17.6828
00:05:01,98.7672,17.6828
00:05:02,98.7671,17.6827
00:05:03,98.767,17.6827
00:05:04,98.7669,17.6827
00:05:05,98.7669,17.6827
00:05:06,98.7668,17.6827
00:05:07,98.7667,17.6827
00:05:08,98.7666,17.6827
00:05:09,98.7665,17.6827
00:05:10,98.7664,17.6827
00:05:11,98.7663,17.6827
00:05:12,98.7662,17.6827
00:05:13,98.7661,17.6827
00:05:14,98.7661,17.6826
00:05:15,98.766,17.6826
00:05:16,98.7659,17.6826
00:05:17,98.7659,17.6826
00:05:18,98.7658,17.6825
00:05:19,98.7657,17.6825
00:05:20,98.7656,17.6825
00:05:21,98.7656,17.6825
00:05:22,98.7655,17.6824
00:05:23,98.7654,17.6824
00:05:24,98.7653,17.6823
00:05:25,98.7652,17.6823
00:05:26,98.7651,17.6823
00:05:27,98.765,17.6822
00:05:28,98.765,17.6822
00:05:29,98.7649,17.6821
00:05:30,98.7648,17.6821
00:05:31,98.7648,17.682
00:05:32,98.7647,17.682
00:05:33,98.7646,17.6819
